Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
24,RERA-PKL-383-2018,SECTOR-21 COMMERCIAL ROHTAK,HRERA-PKL-RTK-89-2019,ESTATE OFFICER HSVP ROHTAK,"ESTATE OFFICE, HSVP ROHTAK",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/349 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/349
27,RERA-PKL-382-2018,SECTOR-18 & 18A,HRERA-PKL-RTK-90-2019,EO HSVP ROHTAK,"HSVP BUILDING SECTOR-3, ROHTAK",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/348 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/348
30,RERA-PKL-339-2018,PALM DRIVE ROHTAK,HRERA-PKL-RTK-96-2019,INFORMAGE REALTY PRIVATE LIMITED,"VILLAGE BOHAR, SECTOR 34 ROHTAK",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/256 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/256
33,RERA-PKL-886-2020,SUNCITY TOWNSHIP SECTOR 36A,HRERA-PKL-ROH-239-2021,SONIKA PROPERTIES PVT LTD.,SECTOR 36A ROHTAK,ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1495 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1495
34,RERA-PKL-1334-2023,ONE CITY,HRERA-PKL-ROH-525-2023,ONE POINT REALTY PVT LTD,SECTOR-37,ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2601 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2601
35,RERA-PKL-1302-2023,RISHIKA GARDENIA,HRERA-PKL-ROH-493-2023,RISSAN BUILDTECH LLP,"VILLAGE BOHAR, SECTOR 33 & 33A",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2520 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2520
36,RERA-PKL-1339-2023,THE MORBAGH,HRERA-PKL-ROH-508-2023,ARSONS REALTORS LLP,"GH-07, SECTOR-30A , IMT ROHTAK",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2613 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2613
37,RERA-PKL-1343-2023,YOGESH HEIGHTS,HRERA-PKL-ROH-590-2024,PATANJALI BUILDCON PVT LTD,"331 SECTOR-2, SANATAN DHARMA MANDIR ROHTAK",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2620 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2620
38,RERA-PKL-1159-2022,FORTEASIA PARK VIEW,HRERA-PKL-ROH-382-2022,FORTEASIA REALTY PRIVATE LIMITED,"VILLAGE- KHEDI SADH, SECTOR-27-A, SAMPLA, ROHTAK, HARYANA",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2186 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2186
40,RERA-PKL-1196-2023,FORTEASIA SILICON VALLEY EXTENSION-I,HRERA-PKL-ROH-402-2023,FORTEASIA REALTY PRIVATE LIMITED,"VILLAGE- SUNARI KHURD AND MAYNA , SECTOR-22D, ROHTAK, HARYANA",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2278 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2278
41,RERA-PKL-924-2021,"SECTOR 27,28,26,PART-I,II,III",HRERA-PKL-ROH-250-2021,"ESTATEOFFICER,HSVP ROHTAK","ESTATE OFFICER, HSVP,SECTOR-3,ROHTAK",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1599 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1599
